"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.552125021E-3,2.402503967E0,-9.103319550E0,-3.557651825E0
7.448874996E-3,2.533631287E0,-9.851763153E0,-3.576362915E0
1.744987490E-2,2.597997437E0,-1.108340195E1,-3.401825867E0
2.745087491E-2,2.615361328E0,-1.275946655E1,-3.239563293E0
3.745287494E-2,2.515219574E0,-1.445259567E1,-3.437900848E0
4.745387495E-2,2.276466064E0,-1.560699509E1,-3.796854401E0
5.745487497E-2,1.653461609E0,-1.536330185E1,-4.165388031E0
6.745587499E-2,1.056952057E0,-1.361089600E1,-4.701423340E0
7.745687489E-2,1.109193420E0,-1.149549500E1,-5.367388458E0
8.745837491E-2,1.809137878E0,-9.949509888E0,-5.880970459E0
9.745937493E-2,2.675835571E0,-8.878038025E0,-6.053112488E0
1.074603749E-1,3.498824158E0,-8.237819366E0,-5.796995087E0
1.174623750E-1,4.195774841E0,-7.962691498E0,-5.038821716E0
1.274633750E-1,4.694088593E0,-8.087681580E0,-3.983067169E0
1.374643750E-1,4.917573853E0,-8.639134827E0,-2.945724335E0
1.474653749E-1,5.014721832E0,-9.350305939E0,-2.118694153E0
1.574663749E-1,5.104235687E0,-9.866881714E0,-1.541494446E0
1.674673749E-1,5.227728882E0,-9.733209686E0,-1.270408173E0
1.774683750E-1,5.340444489E0,-8.851842499E0,-1.100062408E0
1.874703750E-1,5.521268463E0,-7.768994293E0,-8.734336853E-1
1.974713750E-1,5.653443604E0,-6.874753876E0,-6.015989685E-1
2.074723749E-1,5.611381073E0,-6.218368835E0,-4.483177185E-1
2.174733749E-1,5.441334686E0,-5.805677032E0,-4.959187317E-1
2.274743749E-1,5.195845184E0,-5.552703094E0,-7.461982727E-1
2.374753749E-1,4.890779572E0,-5.368885345E0,-1.023272095E0
2.474763750E-1,4.735851746E0,-5.124293976E0,-1.445244598E0
2.574773750E-1,4.672383728E0,-4.702022095E0,-1.565744019E0
2.674793749E-1,4.484225006E0,-4.014202423E0,-1.357976074E0
2.774803749E-1,4.136498108E0,-3.168610840E0,-1.052162018E0
2.874813749E-1,3.760480042E0,-2.315983887E0,-6.180647278E-1
2.974823749E-1,3.470532990E0,-1.637594604E0,-1.773811340E-1
3.074833750E-1,3.324586487E0,-1.313069458E0,3.553610229E-1
3.174843750E-1,3.582200775E0,-1.738634491E0,1.139729919E0
3.274853750E-1,4.111649780E0,-3.033591614E0,1.826801147E0
3.374873749E-1,4.668491821E0,-4.889582062E0,2.442919922E0
3.474883749E-1,5.201832733E0,-7.108268280E0,2.940934296E0
3.574893749E-1,5.719456329E0,-9.451495514E0,3.101699982E0
3.674903749E-1,5.725892944E0,-1.086680237E1,3.181184692E0
3.774913750E-1,4.965623932E0,-1.043554916E1,3.234473877E0
3.874923750E-1,4.299359436E0,-9.188492432E0,3.055146790E0
3.974933750E-1,4.097579041E0,-8.456215210E0,2.924917603E0
4.074953749E-1,3.916306000E0,-8.130492554E0,2.843337250E0
4.174963749E-1,3.639082489E0,-7.989186401E0,2.758014679E0
4.274973749E-1,3.333717499E0,-8.211025085E0,2.436632996E0
4.374983750E-1,3.184028778E0,-8.921896820E0,1.726509705E0
4.474993750E-1,3.364553375E0,-1.016446289E1,3.058140564E-1
4.575003750E-1,3.361409912E0,-1.146076721E1,-1.503174133E0
4.675013749E-1,2.861898651E0,-1.240395584E1,-3.275189209E0
4.775023749E-1,2.188000031E0,-1.297337173E1,-4.968767395E0
4.875043749E-1,1.820663910E0,-1.308698547E1,-6.500232697E0
4.975053750E-1,1.873054962E0,-1.244541962E1,-7.943082275E0
5.075063750E-1,2.001637573E0,-1.098340988E1,-8.896150360E0
5.175073750E-1,2.179767151E0,-9.354347534E0,-8.719966736E0
5.275083750E-1,2.650837555E0,-8.243806915E0,-7.583230591E0
5.375093749E-1,3.590283966E0,-7.959997101E0,-5.896388397E0
5.475103749E-1,4.984335022E0,-8.436306610E0,-3.898942108E0
5.575123749E-1,6.453679504E0,-9.176667023E0,-2.045047302E0
5.675133750E-1,7.631879425E0,-9.660910034E0,-6.141728210E-1
5.775143750E-1,8.326884155E0,-9.647438049E0,3.540138245E-1
5.875153750E-1,8.453371124E0,-9.249266052E0,1.031804352E0
5.975163749E-1,8.085885315E0,-8.678053894E0,1.646276550E0
6.075173749E-1,7.535330200E0,-8.145461426E0,2.101330261E0
6.175183749E-1,7.145540771E0,-7.858059082E0,2.362686768E0
6.275203750E-1,7.220684509E0,-8.024363251E0,2.392624512E0
6.375213750E-1,7.630981293E0,-8.456364899E0,2.313289490E0
6.475223750E-1,8.148006134E0,-8.814270630E0,2.127376099E0
6.575233749E-1,8.695717163E0,-8.916208649E0,1.698817291E0
6.675243749E-1,9.539213104E0,-8.839867401E0,9.017248535E-1
6.775253749E-1,1.060155396E1,-8.482111359E0,2.444416809E-1
6.875263749E-1,1.124311981E1,-7.475454712E0,2.409988403E-1
6.975273750E-1,1.145807281E1,-5.990991669E0,1.144070892E0
7.075293750E-1,1.228615082E1,-4.937332764E0,2.516117706E0
7.175303750E-1,1.413106430E1,-4.979095917E0,3.821103973E0
7.275313749E-1,1.608180771E1,-5.712870026E0,4.489763489E0
7.375323749E-1,1.768886581E1,-6.319558411E0,4.478985901E0
7.475333749E-1,1.910327454E1,-6.237978058E0,4.240531769E0
7.575343749E-1,1.998254608E1,-5.242697754E0,4.169429626E0
7.675353750E-1,2.027069687E1,-3.847598877E0,4.390519867E0
7.775373750E-1,2.026800247E1,-2.798580322E0,4.934189301E0
7.875383749E-1,1.979708176E1,-2.690056000E0,5.451064453E0
7.975393749E-1,1.918395676E1,-3.732188873E0,5.698050842E0
8.075403749E-1,1.838955872E1,-5.055137787E0,5.551505585E0
8.175413749E-1,1.751777161E1,-6.079457703E0,4.993765411E0
8.275423750E-1,1.668265823E1,-6.798861694E0,4.345014496E0
8.375433750E-1,1.608165802E1,-7.291636963E0,3.547173615E0
