"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.199874915E-3,5.663071275E-1,9.281898737E-1,-4.742241651E-2
1.620087493E-2,5.628091097E-1,7.730583549E-1,-2.240006477E-1
2.620187495E-2,5.389860868E-1,5.243782997E-1,-4.456835091E-1
3.620287497E-2,4.396640062E-1,2.350173146E-1,-6.610895395E-1
4.620387498E-2,3.080216944E-1,2.663938329E-3,-7.977345586E-1
5.620487500E-2,1.506003886E-1,-7.036739588E-2,-7.755970359E-1
6.620587490E-2,-3.333589435E-2,6.402274221E-2,-6.039930582E-1
7.620687492E-2,-2.010511309E-1,4.236698747E-1,-4.052692652E-1
8.620937495E-2,-3.465781808E-1,9.141729474E-1,-2.892020643E-1
9.621037496E-2,-4.680183232E-1,1.406909466E0,-2.873687446E-1
1.062113750E-1,-5.482122898E-1,1.799745917E0,-3.613487780E-1
1.162123750E-1,-6.006610990E-1,2.025586605E0,-4.741573334E-1
1.262133749E-1,-6.341904402E-1,2.067872763E0,-5.911235213E-1
1.362143749E-1,-6.591075063E-1,1.954747081E0,-6.986270547E-1
1.462153749E-1,-6.838065386E-1,1.743771672E0,-7.825238705E-1
1.562173750E-1,-7.056466341E-1,1.498764634E0,-8.416647315E-1
1.662183750E-1,-7.106634378E-1,1.274232745E0,-8.721827269E-1
1.762193750E-1,-6.816213727E-1,1.091903925E0,-8.666976690E-1
1.862203749E-1,-6.146615148E-1,9.316717982E-1,-8.400813937E-1
1.962213749E-1,-5.251100659E-1,7.699340582E-1,-7.946784496E-1
2.062223749E-1,-4.415112734E-1,6.104115844E-1,-7.129873037E-1
2.162233749E-1,-3.928830326E-1,4.688898623E-1,-5.874480009E-1
2.262253750E-1,-3.984074891E-1,3.611202538E-1,-4.238596559E-1
2.362263750E-1,-4.686243832E-1,3.011144400E-1,-2.525619268E-1
2.462273750E-1,-5.882878900E-1,2.982129753E-1,-1.131815910E-1
2.562283749E-1,-7.172477841E-1,3.021326065E-1,-4.121525958E-2
2.662293749E-1,-8.228144050E-1,2.630310059E-1,-1.931874827E-2
2.762303749E-1,-8.834028840E-1,1.636618078E-1,-1.787425019E-2
2.862313750E-1,-8.676760793E-1,6.129176170E-2,-2.656847611E-2
2.962323750E-1,-7.927112579E-1,-2.684688754E-2,-3.138187155E-2
3.062343750E-1,-6.812917590E-1,-8.165530115E-2,-5.270720273E-2
3.162353749E-1,-5.058490634E-1,-4.211321846E-2,-1.153175905E-1
3.262363749E-1,-3.024537861E-1,5.406729132E-2,-2.161007375E-1
3.362373749E-1,-1.177033857E-1,1.252336055E-1,-3.212122321E-1
3.462383749E-1,8.024706040E-4,1.263808906E-1,-3.891040981E-1
3.562393750E-1,3.849099204E-2,7.510998100E-2,-3.939348161E-1
3.662403750E-1,4.849573970E-2,3.390439227E-2,-2.527661622E-1
3.762423750E-1,1.051726043E-1,5.250550807E-2,5.499723926E-2
3.862433749E-1,2.315474600E-1,9.710574895E-2,3.546516597E-1
3.962443749E-1,4.314307570E-1,8.522965014E-2,5.073043108E-1
4.062453749E-1,7.038538456E-1,-3.453560174E-2,5.142974257E-1
4.162463750E-1,1.040536284E0,-2.726466954E-1,4.088790715E-1
4.262473750E-1,1.410290718E0,-5.700016022E-1,2.325048149E-1
4.362483750E-1,1.744321942E0,-8.281356692E-1,1.095026266E-3
4.462503749E-1,1.956747174E0,-9.468145967E-1,-2.659210861E-1
4.562513749E-1,2.007392406E0,-9.013445973E-1,-4.902156889E-1
4.662523749E-1,1.897764206E0,-6.747890711E-1,-6.065948009E-1
4.762533749E-1,1.645606041E0,-2.634183168E-1,-6.134575009E-1
4.862543750E-1,1.281839132E0,3.378799260E-1,-5.533450246E-1
4.962553750E-1,8.364637494E-1,1.061390996E0,-4.713281691E-1
5.062563750E-1,3.852953315E-1,1.802387714E0,-3.698560297E-1
5.162573749E-1,2.121053403E-3,2.430719614E0,-2.529030442E-1
5.262593749E-1,-3.218709230E-1,2.856395483E0,-1.539190859E-1
5.362603749E-1,-5.817695856E-1,3.032938004E0,-1.303999126E-1
5.462613750E-1,-7.883576751E-1,2.902938128E0,-2.147000581E-1
5.562623750E-1,-9.766969681E-1,2.484486580E0,-3.622879386E-1
5.662633750E-1,-1.134504080E0,1.887636781E0,-5.115649700E-1
5.762643749E-1,-1.240134716E0,1.255956888E0,-6.196525693E-1
5.862653749E-1,-1.265916705E0,6.669614911E-1,-6.899245381E-1
5.962673749E-1,-1.197208643E0,1.553578675E-1,-7.381394506E-1
6.062683749E-1,-1.054135561E0,-2.605122328E-1,-7.789295912E-1
6.162693750E-1,-8.749535084E-1,-5.507988930E-1,-8.369143605E-1
6.262703750E-1,-7.133901119E-1,-7.066540122E-1,-9.515542388E-1
6.362713750E-1,-5.973351002E-1,-7.207762599E-1,-1.113567352E0
6.462723749E-1,-5.425155163E-1,-5.776876211E-1,-1.273081660E0
6.562733749E-1,-5.354341865E-1,-2.120507509E-1,-1.399438262E0
6.662753749E-1,-5.630442500E-1,4.572241604E-1,-1.522221684E0
6.762763750E-1,-6.184736490E-1,1.344631195E0,-1.655859470E0
6.862773750E-1,-7.047963142E-1,2.217533112E0,-1.751074076E0
6.962783750E-1,-7.362458706E-1,2.916947842E0,-1.798768044E0
7.062793749E-1,-6.257667542E-1,3.402176857E0,-1.901908875E0
7.162803749E-1,-3.235835135E-1,3.638163567E0,-2.189023972E0
7.262813749E-1,1.170736849E-1,3.640547752E0,-2.661223173E0
7.362823749E-1,6.002856493E-1,3.503262520E0,-3.241896868E0
7.462843750E-1,1.084947467E0,3.289654255E0,-3.820440531E0
7.562853750E-1,1.527573943E0,3.025626421E0,-4.227915287E0
7.662863750E-1,1.957202196E0,2.603643894E0,-4.386935234E0
7.762873749E-1,2.387371063E0,2.020406246E0,-4.356471062E0
7.862883749E-1,2.790235758E0,1.307335734E0,-4.315285683E0
7.962893749E-1,3.089428425E0,5.660027862E-1,-4.439437389E0
8.062903750E-1,3.267191172E0,-9.189336747E-2,-4.704139709E0
8.162923750E-1,3.340776682E0,-5.713518262E-1,-5.041903019E0
8.262933750E-1,3.321985960E0,-8.664554954E-1,-5.369936466E0
8.362943749E-1,3.207569122E0,-9.550104141E-1,-5.635227680E0
8.462953749E-1,3.053037882E0,-8.819241524E-1,-5.843220711E0
8.562963749E-1,2.897375584E0,-7.013831139E-1,-5.976425648E0
8.662973749E-1,2.719631672E0,-4.505428970E-1,-6.010764599E0
8.762983750E-1,2.492937803E0,-1.749488711E-1,-5.946863651E0
8.863003750E-1,2.259422779E0,5.519900471E-2,-5.782512188E0
8.963013749E-1,2.021930456E0,2.141913176E-1,-5.562062263E0
9.063023749E-1,1.831687331E0,2.737609744E-1,-5.345103264E0
9.163033749E-1,1.725288987E0,3.866659403E-1,-5.130157471E0
9.263043749E-1,1.742260933E0,7.047381997E-2,-4.914167404E0
9.363053750E-1,1.718409181E0,-3.750111535E-2,-4.695626736E0
9.463063750E-1,1.717340350E0,-2.553838789E-1,-4.451697350E0
9.563073750E-1,1.675620317E0,-4.472044408E-1,-4.210416317E0
9.663093749E-1,1.571638703E0,-6.640223265E-1,-3.993335485E0
9.763103749E-1,1.480473399E0,-8.894650340E-1,-3.827395439E0
9.863113749E-1,1.341120839E0,-1.134058475E0,-3.703093052E0
9.963123749E-1,1.192743063E0,-1.339183927E0,-3.623642206E0
1.006313375E0,9.901211858E-1,-1.461299777E0,-3.590316534E0
1.016314375E0,7.101020217E-1,-1.513512373E0,-3.585990429E0
1.026315375E0,4.610578418E-1,-1.450971842E0,-3.612391710E0
1.036317375E0,2.739425600E-1,-1.234486222E0,-3.646188736E0
1.046318375E0,1.452267468E-1,-8.869645000E-1,-3.657478094E0
1.056319375E0,7.790736854E-2,-4.743007720E-1,-3.627294779E0
1.066320375E0,8.796197921E-2,-1.643413492E-2,-3.549875736E0
1.076321375E0,9.757652879E-2,4.257773757E-1,-3.414969683E0
1.086321667E0,8.936433494E-2,7.769293189E-1,-3.249574184E0
1.096322667E0,8.470886946E-2,1.026689649E0,-3.064049244E0
1.106324667E0,4.320292175E-2,1.104913473E0,-2.859721184E0
1.116325667E0,-1.437275857E-2,9.999569654E-1,-2.649919033E0
1.126326667E0,-6.733883172E-2,7.594801784E-1,-2.450366735E0
1.136327667E0,-1.691384166E-1,3.858876824E-1,-2.252446413E0
1.146328667E0,-3.343931437E-1,-8.307076991E-2,-2.070341110E0
1.156329667E0,-5.143861175E-1,-5.979000330E-1,-1.898411274E0
1.166330667E0,-6.166176200E-1,-1.014547348E0,-1.674782634E0
1.176332667E0,-7.518260479E-1,-1.343827844E0,-1.372696757E0
1.186333667E0,-8.701693416E-1,-1.586494565E0,-1.061414957E0
1.196334667E0,-9.463932514E-1,-1.705431938E0,-8.212612271E-1
1.206335667E0,-9.900457263E-1,-1.717223644E0,-6.515145898E-1
1.216336667E0,-1.041920424E0,-1.606327176E0,-5.090008974E-1
1.226337667E0,-1.106481433E0,-1.382869124E0,-3.538666070E-1
1.236338667E0,-1.185418606E0,-1.079739094E0,-1.734741777E-1
1.246340667E0,-1.262991905E0,-7.724329233E-1,1.339053176E-2
1.256341667E0,-1.332122445E0,-5.252854228E-1,1.837385595E-1
1.266342667E0,-1.383599877E0,-3.801887333E-1,3.305432498E-1
1.276343667E0,-1.397078395E0,-3.351296186E-1,4.660651088E-1
1.286344667E0,-1.367024064E0,-3.695851862E-1,5.909408331E-1
1.296345667E0,-1.306956291E0,-4.529109597E-1,7.248597741E-1
1.306346667E0,-1.236273766E0,-5.575468540E-1,8.927528858E-1
1.316348667E0,-1.158418655E0,-6.464982629E-1,1.107205153E0
1.326349667E0,-1.060983896E0,-6.994463801E-1,1.361102343E0
1.336350667E0,-9.681183696E-1,-6.786110997E-1,1.620155811E0
1.346351667E0,-8.635365367E-1,-6.590825915E-1,1.862687826E0
1.356352667E0,-7.587478161E-1,-6.450173855E-1,2.085555792E0
1.366353667E0,-6.635998487E-1,-6.323893666E-1,2.308026314E0
1.376354667E0,-5.798705816E-1,-6.075319648E-1,2.519679785E0
1.386356667E0,-5.119524598E-1,-5.607906580E-1,2.726520300E0
1.396357667E0,-4.683828652E-1,-4.769085050E-1,2.940143585E0
1.406358667E0,-4.370303154E-1,-3.485597372E-1,3.167584181E0
1.416359667E0,-4.077600539E-1,-1.852557957E-1,3.425067425E0
1.426360667E0,-3.702467084E-1,2.032097429E-2,3.722673178E0
1.436361667E0,-3.121647537E-1,2.675363421E-1,4.069757462E0
1.446362667E0,-2.092170119E-1,5.720856786E-1,4.451972008E0
1.456364667E0,-8.215706795E-2,9.113497734E-1,4.863862038E0
1.466365667E0,4.909668490E-2,1.223457575E0,5.270494938E0
1.476366667E0,1.704580039E-1,1.410741925E0,5.631828308E0
1.486367667E0,2.467624992E-1,1.407779098E0,5.921944141E0
1.496368667E0,2.163712978E-1,1.214678407E0,6.127289772E0
1.506369667E0,3.026931919E-2,9.239903092E-1,6.249848843E0
1.516370667E0,-3.385614455E-1,6.620859504E-1,6.284541607E0
1.526372667E0,-7.622076273E-1,5.620524883E-1,6.163758278E0
1.536373667E0,-1.105124712E0,6.349919438E-1,5.859366417E0
1.546374667E0,-1.393364310E0,6.827992201E-1,5.522417068E0
1.556375667E0,-1.618046165E0,6.008622646E-1,5.354183674E0
1.566376667E0,-1.733520269E0,5.659304857E-1,5.365185261E0
1.576377667E0,-1.808817625E0,7.342656851E-1,5.461461544E0
1.586378667E0,-1.950578809E0,1.064914227E0,5.468328476E0
1.596380667E0,-2.165157318E0,1.349785566E0,5.266638756E0
1.606381667E0,-2.376370907E0,1.438803315E0,4.866265774E0
1.616382667E0,-2.472326756E0,1.168733001E0,4.439527988E0
1.626383667E0,-2.400705576E0,4.021198452E-1,4.245878696E0
1.636384667E0,-2.257540226E0,-7.431089282E-1,4.372050285E0
1.646385667E0,-2.208041430E0,-2.085538387E0,4.716192722E0
1.656386667E0,-2.230259657E0,-3.439500093E0,5.113877773E0
1.666388667E0,-2.231082678E0,-4.442492485E0,5.350831032E0
1.676389667E0,-2.170776606E0,-4.936068535E0,5.348584175E0
1.686390667E0,-2.045867682E0,-5.013059616E0,5.214686394E0
1.696391667E0,-1.913074732E0,-4.733175755E0,5.010747433E0
1.706392667E0,-1.784419179E0,-4.230704308E0,4.741831303E0
1.716393667E0,-1.708082080E0,-3.613817215E0,4.442747116E0
1.726394667E0,-1.672240734E0,-2.792676926E0,4.126986027E0
1.736396667E0,-1.694884062E0,-1.791262031E0,3.833916426E0
1.746397667E0,-1.841720819E0,-6.802729964E-1,3.602685928E0
1.756398667E0,-2.094904184E0,3.678401709E-1,3.436673403E0
1.766399667E0,-2.351223469E0,1.331029177E0,3.279724360E0
1.776400667E0,-2.545127153E0,2.069313765E0,3.008084536E0
1.786401667E0,-2.631590128E0,2.464852095E0,2.585162640E0
1.796402667E0,-2.626528502E0,2.521326303E0,2.092551231E0
1.806403667E0,-2.512389660E0,2.217005491E0,1.611748457E0
1.816405667E0,-2.351306438E0,1.777191639E0,1.191067338E0
1.826406667E0,-2.111864090E0,1.287541747E0,8.342181444E-1
1.836407667E0,-1.826239944E0,8.438580632E-1,5.653312802E-1
1.846408667E0,-1.493556380E0,4.628619552E-1,3.411361277E-1
1.856409667E0,-1.154260039E0,1.107529104E-1,1.108331531E-1
1.866410667E0,-8.224524856E-1,-2.481004000E-1,-1.393856257E-1
1.876411667E0,-5.200939775E-1,-5.582993031E-1,-3.867932856E-1
1.886413667E0,-2.425023466E-1,-7.764171958E-1,-6.244855523E-1
1.896414667E0,1.976363175E-2,-8.966578841E-1,-8.515173793E-1
1.906415667E0,2.734674215E-1,-9.330222011E-1,-1.082161903E0
1.916416667E0,5.090378523E-1,-9.469228387E-1,-1.286014676E0
1.926417667E0,7.273209691E-1,-9.682495594E-1,-1.454277754E0
1.936418667E0,9.244928956E-1,-9.728637934E-1,-1.582727313E0
1.946419667E0,1.113416195E0,-9.579654932E-1,-1.674555302E0
1.956421667E0,1.314559221E0,-9.307365417E-1,-1.735834956E0
