"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.737291692E-3,-3.198249207E0,-8.786129150E0,-2.668500824E0,9.723464407E0
8.263708325E-3,-3.044069824E0,-8.876391449E0,-2.623294830E0,9.743631870E0
1.826470834E-2,-3.038830719E0,-9.059760132E0,-2.699636078E0,9.929842936E0
2.826570836E-2,-3.096011810E0,-9.417815552E0,-2.534080353E0,1.023240451E1
3.826670838E-2,-3.106639709E0,-9.740245056E0,-2.429447937E0,1.050836816E1
4.826770839E-2,-2.995271301E0,-9.878856812E0,-2.356998596E0,1.058862146E1
5.826870829E-2,-2.873274994E0,-9.918224945E0,-2.294428711E0,1.057786833E1
6.826970831E-2,-2.904859314E0,-9.903256073E0,-2.210902405E0,1.055465669E1
7.827070833E-2,-3.145558777E0,-9.828262024E0,-2.117047577E0,1.053428521E1
8.827170834E-2,-3.589535522E0,-9.657916260E0,-2.043999481E0,1.050419181E1
9.827370837E-2,-4.052073669E0,-9.251361694E0,-1.946252747E0,1.028566449E1
1.082747084E-1,-4.348457336E0,-8.805738373E0,-1.856738892E0,9.994878129E0
1.182757084E-1,-4.546046448E0,-8.507708130E0,-1.836830292E0,9.819449142E0
1.282767083E-1,-4.631069641E0,-8.315507812E0,-1.942660217E0,9.714340169E0
1.382777083E-1,-4.656965790E0,-8.143665161E0,-2.043849792E0,9.601246513E0
1.482787083E-1,-4.655468903E0,-7.955057373E0,-2.266885986E0,9.491843898E0
1.582797084E-1,-4.661456451E0,-7.722441101E0,-2.542911987E0,9.371855429E0
1.682807084E-1,-4.704566803E0,-7.569309540E0,-2.745889893E0,9.325626360E0
1.782817084E-1,-4.718038788E0,-7.506589966E0,-2.851719818E0,9.313489617E0
1.882827083E-1,-4.630620575E0,-7.424111481E0,-3.182082825E0,9.310517133E0
1.982837083E-1,-4.592449951E0,-7.340136108E0,-3.578907623E0,9.368926001E0
2.082847083E-1,-4.595294037E0,-7.444918213E0,-3.726650391E0,9.509545605E0
2.182857083E-1,-4.517306213E0,-7.737859039E0,-3.680396576E0,9.686373774E0
2.282867084E-1,-4.439767456E0,-7.948920135E0,-3.618275757E0,9.797386684E0
2.382877084E-1,-4.380191345E0,-7.917784882E0,-3.479664001E0,9.694609596E0
2.482887084E-1,-4.290677490E0,-7.712411957E0,-3.283122711E0,9.416480566E0
2.582897083E-1,-4.219874725E0,-7.395820313E0,-3.307821350E0,9.134942960E0
2.682907083E-1,-4.302951965E0,-7.097490692E0,-3.477119293E0,8.998895950E0
2.782917083E-1,-4.363276520E0,-7.065756683E0,-3.423830109E0,8.982522592E0
2.882927083E-1,-4.274511108E0,-7.356751556E0,-3.160078583E0,9.076306260E0
2.982937084E-1,-4.136797485E0,-7.763156433E0,-3.006947021E0,9.296312260E0
3.082947084E-1,-4.100722504E0,-8.102650452E0,-2.970872040E0,9.554839092E0
3.182957084E-1,-4.163292389E0,-8.287066956E0,-2.949167175E0,9.731704335E0
3.282967083E-1,-4.247267761E0,-8.206384735E0,-2.997067566E0,9.714239438E0
3.382977083E-1,-4.327201538E0,-7.910450134E0,-3.132685547E0,9.545345107E0
3.482997083E-1,-4.365671539E0,-7.527845764E0,-3.288361816E0,9.302734720E0
3.583007084E-1,-4.310286713E0,-7.252418518E0,-3.337609406E0,9.072804553E0
3.683017084E-1,-4.176764374E0,-7.104825439E0,-3.343746643E0,8.894073688E0
3.783027084E-1,-4.067491608E0,-7.017257538E0,-3.428171082E0,8.805608911E0
3.883037084E-1,-4.041894836E0,-6.974895630E0,-3.523373108E0,8.797740674E0
3.983047083E-1,-4.070335693E0,-7.018305359E0,-3.548371124E0,8.855234633E0
4.083057083E-1,-4.072880402E0,-7.076384583E0,-3.578159180E0,8.914415104E0
4.183067083E-1,-4.091591492E0,-7.227420502E0,-3.646566925E0,9.070511473E0
4.283077084E-1,-4.169878693E0,-7.476801910E0,-3.595822449E0,9.285493751E0
4.383087084E-1,-4.233197021E0,-7.842491455E0,-3.543132019E0,9.590537720E0
4.483097084E-1,-4.255949707E0,-8.267158356E0,-3.501518555E0,9.935776134E0
4.583107084E-1,-4.357588348E0,-8.844208374E0,-3.261268158E0,1.038481911E1
4.683122917E-1,-4.493954773E0,-9.378597107E0,-3.233725433E0,1.089085366E1
4.783132917E-1,-4.545298004E0,-9.854158173E0,-2.841540985E0,1.121777707E1
4.883142917E-1,-4.556973724E0,-1.026655060E1,-2.514022064E0,1.151035958E1
4.983152917E-1,-4.571044464E0,-1.035546570E1,-2.585124207E0,1.161089938E1
5.083162917E-1,-4.468657379E0,-1.026969406E1,-2.467768250E0,1.146845216E1
5.183172916E-1,-4.547243958E0,-1.002435425E1,-2.479743347E0,1.128336088E1
5.283182916E-1,-5.030139771E0,-9.595795441E0,-2.748584290E0,1.117749130E1
5.383192917E-1,-6.083349609E0,-9.266330566E0,-3.073708191E0,1.150303033E1
5.483202917E-1,-7.375612335E0,-9.085207214E0,-3.409459991E0,1.218872696E1
5.583212917E-1,-8.434510345E0,-9.115893402E0,-3.350332947E0,1.286332804E1
5.683222917E-1,-8.985364838E0,-9.276958466E0,-3.187920685E0,1.330269063E1
5.783232917E-1,-8.888815613E0,-9.488318939E0,-2.948119354E0,1.333156581E1
5.883242916E-1,-8.581504669E0,-9.632020111E0,-3.214265900E0,1.329471847E1
5.983252916E-1,-8.728349304E0,-9.716743927E0,-3.809428253E0,1.360554805E1
6.083262917E-1,-9.337133331E0,-9.909542999E0,-3.987707520E0,1.418742093E1
6.183282917E-1,-1.000773880E1,-1.014260834E1,-3.676205292E0,1.471536018E1
6.283292917E-1,-1.033645523E1,-1.018736526E1,-3.487298126E0,1.492601641E1
6.383302917E-1,-1.024275009E1,-1.008827133E1,-3.490591278E0,1.479430213E1
6.483312916E-1,-9.956096191E0,-1.008452911E1,-3.625161438E0,1.462748694E1
6.583322916E-1,-9.901459808E0,-1.009919861E1,-4.033661957E0,1.470724813E1
6.683332917E-1,-1.010488678E1,-1.000848724E1,-4.642595673E0,1.496102431E1
6.783342917E-1,-1.042028091E1,-9.738299103E0,-5.206772461E0,1.518312231E1
6.883352917E-1,-1.050844757E1,-9.457632751E0,-5.378315735E0,1.512615509E1
6.983362917E-1,-1.036594391E1,-9.224118347E0,-5.509443054E0,1.492953834E1
7.083372917E-1,-1.022119492E1,-9.025930481E0,-5.615572357E0,1.474703019E1
7.183382916E-1,-1.025936554E1,-8.752748566E0,-5.738466797E0,1.465589267E1
7.283392916E-1,-1.052431458E1,-8.460256805E0,-5.870342560E0,1.472406412E1
7.383402917E-1,-1.093446167E1,-8.096064148E0,-6.242768097E0,1.496933065E1
7.483412917E-1,-1.140732834E1,-7.774233398E0,-6.580914917E0,1.529294889E1
7.583422917E-1,-1.166419418E1,-7.453300781E0,-6.727609863E0,1.539044681E1
7.683432917E-1,-1.172391998E1,-7.145241394E0,-6.945556641E0,1.538653734E1
7.783442917E-1,-1.180280594E1,-6.869365082E0,-7.001091156E0,1.534632471E1
7.883452916E-1,-1.185789139E1,-6.541696472E0,-6.877148895E0,1.518876420E1
7.983462916E-1,-1.169907166E1,-6.162834320E0,-6.691385193E0,1.481969771E1
8.083472917E-1,-1.128802643E1,-5.972579956E0,-6.582860870E0,1.436750880E1
8.183482917E-1,-1.073208252E1,-5.988446960E0,-6.495742035E0,1.390085453E1
8.283492917E-1,-9.956994324E0,-5.943839722E0,-6.278394012E0,1.318670535E1
8.383502917E-1,-9.168583832E0,-5.922583923E0,-6.004613342E0,1.245774102E1
8.483512917E-1,-8.584348755E0,-5.901777191E0,-5.734574890E0,1.189148295E1
8.583522916E-1,-8.205336914E0,-5.777685242E0,-5.480253754E0,1.143426350E1
8.683542917E-1,-7.841743011E0,-5.445376282E0,-5.406307526E0,1.097147289E1
